,latitude,longitude,MeanElevation
188037578,44.7813025,-93.4960514,242.99503
188037974,44.793703,-93.4960507,229.94391
4576910244,44.9655986,-93.4960404,290.57077
34559394,44.843334,-93.49604,273.87943
6947496427,44.8712497,-93.4959835,271.70154
34381703,44.8934298,-93.4959693,278.07138
244456707,44.8921938,-93.495936,279.8624
33349021,44.8920722,-93.4959274,279.94238
469221390,44.7754578,-93.4958844,249.04039
33369121,44.889744,-93.49588,276.59149
188064478,44.7744829,-93.4958672,249.11014
34559292,44.90003,-93.495865,276.03119
33383071,44.888828,-93.495857,276.47693
469237104,44.77285,-93.4958415,253.22127
33386690,44.887978,-93.495834,278.23553
33483588,44.887192,-93.495819,283.26855
188040302,44.7723695,-93.4958106,255.06906
34179595,44.88522,-93.495781,278.73718
34167674,44.884838,-93.495773,277.60254
34372858,44.997059,-93.495766,300.48987
33327903,44.882504,-93.495743,278.98279
33545673,44.881451,-93.495728,280.5694
34510187,44.8788479,-93.4957148,279.47998
33547685,44.8800235,-93.4956964,280.02872
33729940,44.8759871,-93.4956842,280.47327
33299710,44.8768472,-93.49568,279.37326
33739503,44.874935,-93.495659,281.46216
33756949,44.874504,-93.495651,281.0
188049990,44.7686304,-93.495588,256.08002
34386840,44.865604,-93.495583,273.61932
34648794,44.9378119,-93.495582,280.06116
469234456,44.7758904,-93.4955582,247.54039
1314307363,44.9951193,-93.4955301,296.04843
33300291,44.9402456,-93.4955295,283.65811
538451187,44.971194,-93.4955289,298.37311
34384485,44.995222,-93.4955218,295.94843
33424168,44.8455328,-93.4955064,271.6076
1044299394,44.9595496,-93.4955005,287.34354
469211684,44.7661198,-93.495485,256.45462
1044299202,44.9630224,-93.4954715,286.7886
33635761,44.8542453,-93.4954455,267.10001
33320572,44.911355,-93.495407,282.94125
33748906,44.910122,-93.495375,285.10425
34163529,44.8649991,-93.4953461,274.03647
188064482,44.7745195,-93.4953436,249.21654
188046150,44.7698796,-93.4953219,257.16992
33370012,44.904659,-93.4953,282.45059
188037786,44.7837576,-93.4952399,242.97441
188037784,44.7833187,-93.4952246,242.35043
33362713,44.848545,-93.495209,268.93936
34384284,44.865788,-93.495209,273.87173
33329942,45.00029,-93.495193,297.78415
1044299253,44.9595393,-93.4951661,287.02737
33743612,44.999207,-93.495163,298.4668
33822556,44.92543,-93.495155,282.1348
34163493,44.865116,-93.495148,272.75751
1833737231,44.774934,-93.495071,249.39554
1833737195,44.7741885,-93.4950589,249.43654
1833737197,44.774556,-93.495031,249.29654
34516336,44.9374406,-93.4949569,279.80719
34530326,44.874931,-93.494942,282.52585
33551251,44.856987,-93.494934,270.49948
942140072,44.7899425,-93.4949321,230.7579
33380110,44.991268,-93.494904,296.78726
33298110,44.91827,-93.494881,272.78558
34510882,44.994186,-93.494835,294.75385
188052196,44.7808102,-93.4948259,242.36372
33747865,44.914631,-93.49482,278.08282
34661036,44.8785621,-93.4948,282.28198
33379440,44.9478943,-93.4947894,284.70587
1139356805,44.7805443,-93.4947796,242.79977
6760827919,44.9697488,-93.4947789,293.88928
188056315,44.7941232,-93.4947289,230.52927
1833737234,44.774975,-93.494724,248.93553
188037976,44.7936872,-93.4947183,230.06024
188052377,44.7927409,-93.4947146,228.94756
34180595,44.837177,-93.494698,275.28604
4576910252,44.964949,-93.4946838,293.93277
33368997,44.908627,-93.494682,281.26016
1044299625,44.9607973,-93.494678,293.5144
469234462,44.7759757,-93.494657,247.50743
34514767,44.926407,-93.494637,283.92917
1220700723,44.8912138,-93.4946196,278.26938
4576910251,44.9653395,-93.4946088,293.69299
4576910255,44.9656696,-93.4945823,293.633
34561480,44.834751,-93.494576,269.92783
34382178,44.848072,-93.494576,268.86819
534947670,44.8028312,-93.4945617,221.44492
1044299286,44.9613955,-93.4945326,286.81165
1044299662,44.960418,-93.4944894,291.80038
188044085,44.7974106,-93.494472,226.88016
34501912,44.937077,-93.494469,279.56305
469235846,44.7714729,-93.4944682,255.42941
188042791,44.7883009,-93.49446,231.52629
33493040,44.887203,-93.494453,283.70813
188044082,44.7965961,-93.4944285,229.24487
33493072,44.886387,-93.494423,285.24902
188039719,44.786432,-93.494412,243.71117
33349048,44.857528,-93.494403,271.31509
534947672,44.8021731,-93.4943922,224.68823
188040359,44.8019373,-93.494379,224.90408
6760840941,44.9704126,-93.4943738,295.3172
3410782678,44.9711647,-93.4943732,297.48593
1833737265,44.775384,-93.494341,248.32047
33349162,44.898193,-93.494316,276.80621
188040882,44.7821663,-93.4942689,242.99806
33750225,45.001377,-93.494247,299.53503
188066155,44.76626,-93.4942404,257.92438
33748827,45.00029,-93.494232,297.34253
33371260,44.876133,-93.494217,281.4985
2382930495,44.9703452,-93.4941934,295.29718
33313233,44.8390725,-93.4941777,269.82095
1833737196,44.7741904,-93.4941058,249.37823
1833737185,44.7737851,-93.4941043,250.17598
188039682,44.7736708,-93.4941032,250.09598
942140045,44.791571,-93.4941031,228.88007
34514919,44.887722,-93.494102,286.98389
34540013,44.936295,-93.494095,280.17621
1833737200,44.774596,-93.494091,248.91823
1833737239,44.775014,-93.494091,248.35928
469227700,44.7759513,-93.4940648,247.70047
33727006,44.941891,-93.494049,287.082
188049489,44.7660467,-93.4940344,257.20438
6760827948,44.9709185,-93.4939944,296.33719
33327904,44.8825,-93.493957,281.91205
188048900,44.7630452,-93.4939532,259.85251
33349052,44.8572412,-93.4939215,271.2551
34665046,44.879665,-93.493919,282.92673
34393805,44.927494,-93.493919,281.84845
33309567,44.939575,-93.493881,289.03198
34177121,44.925266,-93.493858,277.85025
1314307381,44.9950103,-93.4938577,294.29041
34381708,44.9951121,-93.4938485,294.1904
34198303,44.997101,-93.493843,299.5285
34635728,44.84861,-93.493835,268.38223
34565524,44.880219,-93.493828,280.93457
188037978,44.7936708,-93.4938135,229.82835
34570455,44.863361,-93.493805,272.99023
33304717,44.864964,-93.493797,272.85959
34391620,45.002502,-93.49379,299.01794
6760827936,44.9711646,-93.493784,296.44601
942140034,44.7901774,-93.4937807,229.98674
188046154,44.7704097,-93.493777,254.33031
34387585,44.998226,-93.493767,297.26062
34536992,44.8234008,-93.4937632,275.54587
34538028,44.925011,-93.493752,277.01025
33639972,44.945535,-93.4937369,292.43832
34386860,44.999817,-93.493675,295.84647
33371596,44.892601,-93.49366,272.83615
188051595,44.7848055,-93.4936481,242.35103
188047757,44.7930476,-93.493645,229.32101
34182822,44.926437,-93.493645,281.37051
6760827953,44.9712744,-93.4936413,296.26602
33324175,44.8320395,-93.493624,258.75354
188067594,44.7814907,-93.4936166,242.69621
188040886,44.7833312,-93.4936098,241.83932
188040885,44.7828743,-93.4935881,242.57933
6760827937,44.9711521,-93.4935844,296.10602
188036642,44.7954842,-93.4935831,230.8873
1833737206,44.774622,-93.493565,248.85512
469237111,44.7713842,-93.4935638,254.88452
33457669,44.888901,-93.493561,273.49548
1833737188,44.773976,-93.493554,249.69513
1833737253,44.775381,-93.49355,249.73666
596638991,44.8501537,-93.4935418,267.65625
942140074,44.7916407,-93.4935302,228.80743
34167528,44.9453577,-93.4935248,292.65833
34373384,44.854733,-93.493515,269.12
469234470,44.7759757,-93.4934983,247.43666
482775346,44.8499362,-93.4934963,267.73624
188048893,44.7635237,-93.4934851,258.51114
34542839,44.8469954,-93.4934851,269.18588
33315285,44.9461659,-93.4934753,291.07367
33464564,44.8920499,-93.4934689,274.81195
942140056,44.7912486,-93.4934656,229.06743
6760827932,44.9712629,-93.4934627,295.92603
33726999,44.941883,-93.493431,288.233
4483971299,44.9589763,-93.4934243,284.08102
34394674,44.927483,-93.493408,281.3465
33495408,44.888786,-93.493393,273.47549
33368962,44.889759,-93.493391,273.92871
1044299561,44.9612015,-93.4933695,285.14478
942140040,44.7907962,-93.493363,229.42909
33298044,44.9180523,-93.4933299,275.94568
34648294,44.863926,-93.493317,273.42139
33740142,45.002815,-93.493309,299.2883
34566841,44.937439,-93.493286,287.16034
750128294,44.9172805,-93.4932471,278.25516
34188156,45.004269,-93.493187,298.49738
33729587,44.9479354,-93.4931816,284.27695
299170406,44.852154,-93.493175,267.39578
33632250,44.8511698,-93.4931583,267.2608
33357258,44.90448,-93.493126,287.04254
188048891,44.7643221,-93.4931075,257.84683
33357253,44.903488,-93.493103,290.30099
34647787,44.9296222,-93.4930994,281.97589
33354951,44.902634,-93.49308,289.48672
1833737241,44.7750113,-93.4930736,248.88991
188048884,44.7661685,-93.4930731,257.74454
34162053,44.902531,-93.493073,289.08673
33382384,44.901413,-93.49305,285.40079
33726653,44.991592,-93.49305,293.88278
33378978,44.8525785,-93.4930319,266.71274
1833737208,44.774675,-93.4930297,249.18991
538452161,44.9710895,-93.4930175,295.64835
1833737191,44.773985,-93.493015,249.54311
34511411,44.836731,-93.492981,272.83231
33313240,44.8392653,-93.4929677,269.99405
33349033,44.898109,-93.492966,273.55148
33349159,44.89817,-93.492966,273.93149
34174651,44.834461,-93.49295,266.03885
33386390,44.8381744,-93.4929329,271.0163
34513471,44.8455326,-93.4929281,272.11908
33349037,44.895679,-93.492912,266.60089
33349279,44.8946592,-93.4929066,263.31165
3943302475,44.8279592,-93.492905,260.77475
33351533,44.835712,-93.492882,268.24118
538451850,44.9717087,-93.4928354,294.70206
469208344,44.76905,-93.4928246,255.39244
33368681,44.8628294,-93.4928221,273.25409
4831852550,44.8627012,-93.4928169,273.22757
33520647,44.836628,-93.492813,272.21231
33309573,44.939194,-93.492809,287.89813
1044299236,44.9632003,-93.4927526,288.99039
469208407,44.7681595,-93.4927514,255.17957
33372732,44.8930633,-93.4927431,266.8699
469208403,44.7700668,-93.4927275,254.65105
188057401,44.7896194,-93.4927044,230.75
188048882,44.7673446,-93.4927041,254.77309
33852578,44.916363,-93.492676,282.86099
3943302323,44.8217554,-93.4926666,270.04346
188051591,44.7840622,-93.4926611,242.44839
34549686,44.9199622,-93.4925994,279.63303
34503744,44.920391,-93.492584,280.71301
33350844,44.941868,-93.492584,290.29974
33630157,44.920776,-93.492569,280.09464
34544388,44.936626,-93.492531,290.61505
942140063,44.7902239,-93.4925299,229.63477
469234476,44.7759378,-93.4925278,247.61208
1833737245,44.775296,-93.492517,248.3699
33295878,44.910858,-93.492516,280.71893
34639733,44.9136951,-93.4925089,281.07819
1833737193,44.773986,-93.492506,249.54311
1833737227,44.774696,-93.492497,249.2299
34499180,44.9180907,-93.4924825,277.50943
34501503,44.9219385,-93.4924707,278.03668
942140036,44.7906978,-93.4924671,228.85477
33630169,44.8597015,-93.4924589,273.75418
942140039,44.7911651,-93.4924053,228.48192
188058760,44.7960957,-93.4923548,231.05629
188036640,44.7954999,-93.4923325,230.63629
188051603,44.7810405,-93.4923178,241.97675
34503288,44.881752,-93.492294,282.78394
34499190,44.8825,-93.492291,283.93369
34504692,44.883339,-93.492287,284.39117
33310777,44.915284,-93.492276,279.13559
244456702,44.892437,-93.4922453,269.07837
942140078,44.7915695,-93.4922267,228.20532
244456621,44.8923093,-93.4922195,268.53448
33383002,44.8920775,-93.4922059,267.75449
33327776,44.8402625,-93.4921787,270.80179
3943302318,44.8217558,-93.4921726,271.888
33309490,44.940235,-93.492157,288.46811
6137080329,44.9174253,-93.4921457,281.10025
33313246,44.8392937,-93.4921431,271.52563
34537251,44.8383431,-93.4921223,272.9306
750128311,44.9174523,-93.4921178,281.02023
34162840,44.8376393,-93.4920794,275.30048
33295872,44.909679,-93.49206,283.33502
3943302311,44.821277,-93.4920598,272.09622
34642806,44.9254,-93.492058,278.44418
34163869,44.8371817,-93.49205,272.88773
469208252,44.7644622,-93.492026,257.42163
188049630,44.7828865,-93.4920088,243.22198
34524162,44.888187,-93.491997,271.01266
1833737267,44.77543,-93.491987,247.49649
1833737189,44.773982,-93.491969,249.2973
1833737230,44.774699,-93.491969,248.94769
34503925,44.924995,-93.491966,278.06918
33631367,44.93457,-93.491943,278.26205
33317122,44.938614,-93.491905,288.09909
34174348,44.8453918,-93.4918594,271.57498
33351532,44.8360003,-93.4918429,263.80609
33423532,44.938181,-93.491805,289.31955
34174653,44.8342572,-93.4917928,263.67041
460315596,44.7845761,-93.4917665,240.49208
34665063,44.9294825,-93.4917611,280.26294
188039716,44.7852258,-93.4917599,237.27133
1044299238,44.9627094,-93.4917577,286.19089
33372132,45.004139,-93.491722,298.98367
33802501,45.002552,-93.491707,296.72379
188047761,44.7924322,-93.4916996,228.45436
33315534,45.002117,-93.491699,295.54379
33315531,45.000935,-93.491681,294.55002
33295934,44.907112,-93.491661,287.4989
33522433,44.998203,-93.491653,291.89282
1314307397,44.9948757,-93.4916277,291.4473
34656454,44.9950019,-93.4916233,291.08731
33295767,44.914379,-93.491623,279.05951
33355131,44.941849,-93.491608,292.43521
33852384,44.993507,-93.491608,293.41089
3943302478,44.8293675,-93.4915968,259.90088
3943302476,44.8279711,-93.4915955,267.26428
33359936,44.9359316,-93.4915867,292.88162
33824472,44.889744,-93.491585,271.76837
33317123,44.938301,-93.491547,286.91174
33317179,44.938652,-93.491547,288.48114
469234556,44.7774475,-93.4915406,247.72063
469234480,44.7759879,-93.4915328,248.06119
3943302468,44.8274857,-93.4915287,268.08475
33382537,44.90059,-93.491516,284.77551
33542283,44.944506,-93.491516,293.89709
1033633133,44.83021,-93.4914994,255.40994
33639409,44.846317,-93.4914983,271.04102
33803511,44.888454,-93.49147,270.47272
1044299551,44.9630991,-93.4914612,286.10748
188037979,44.7936758,-93.491456,230.96948
1833737268,44.775488,-93.491453,247.30118
188034968,44.7928696,-93.4914502,229.14374
1833737190,44.773984,-93.491441,249.09344
1833737210,44.774693,-93.491441,248.67966
469208263,44.7669242,-93.4914252,255.18268
33383124,44.89756,-93.491402,280.99097
1155817801,44.8393155,-93.4913656,273.20752
33818018,44.906219,-93.491364,289.49054
34390610,44.865295,-93.491333,271.19208
33378194,44.998966,-93.491333,293.04047
33727392,44.9469492,-93.4913183,291.68155
34499483,44.89962,-93.491318,287.85016
750128366,44.917863,-93.491316,282.91122
34198614,44.89069,-93.491302,270.96198
4600364619,44.8373397,-93.4913014,274.06915
33352352,44.998203,-93.491264,292.15283
33803038,44.918972,-93.4912526,278.76578
33550355,44.919785,-93.4912522,282.70898
3943302376,44.8228692,-93.4912273,274.2515
469208390,44.7625621,-93.4912223,258.05914
34168338,44.8431632,-93.4912009,266.50302
33360893,44.936359,-93.491196,291.87723
33327725,44.996624,-93.491196,292.16412
33818257,44.890343,-93.491188,270.38199
538451163,44.9719923,-93.4911824,293.29083
538452469,44.9711625,-93.4911764,301.60318
188065749,44.796121,-93.4911533,230.69212
188036638,44.7955241,-93.4911196,230.03653
34536647,44.863968,-93.491119,272.39801
693892745,44.9032913,-93.4911187,292.01672
34551365,44.9219505,-93.4911158,277.95245
33327718,44.998207,-93.491112,292.15283
1220702021,44.8913741,-93.4911109,273.00961
33315004,44.941841,-93.491089,293.75522
942140028,44.789397,-93.4910575,229.97736
188042910,44.7818447,-93.4910561,241.84941
188042912,44.7811746,-93.4910475,241.83528
33851895,44.902302,-93.49099,289.88562
6137080334,44.9174826,-93.4909742,284.18756
469208336,44.7688564,-93.4909367,257.69208
33309458,44.939999,-93.490934,289.43442
1833737269,44.77549,-93.490932,248.12119
33315038,44.941397,-93.490921,293.54376
1833737192,44.773986,-93.490913,249.15697
1833737224,44.774695,-93.490913,248.47455
188042908,44.7828865,-93.4909016,244.28629
34546217,44.923634,-93.490898,282.63977
34370220,44.929928,-93.490883,281.72754
34535925,44.8958489,-93.4908591,275.483
34166591,44.845445,-93.4908339,268.12125
4117115455,44.9721657,-93.4908287,293.05176
539723197,44.7927732,-93.490811,228.92374
33301461,45.002544,-93.490807,298.66595
33629656,44.888134,-93.490784,270.57394
33378974,44.9464499,-93.4907675,288.01944
34503572,45.000492,-93.49073,296.85107
33301206,45.00182,-93.49073,296.32974
33737406,44.925282,-93.490715,278.85092
1989017914,44.7621883,-93.4907124,259.91391
538452200,44.970832,-93.4907089,301.07355
34634708,44.941833,-93.490692,294.34375
33380921,44.886925,-93.490681,277.36639
33380426,44.885452,-93.490677,282.87732
33816761,44.88427,-93.490669,286.17422
33841055,44.882843,-93.490654,284.53253
33804938,44.881786,-93.490646,283.89566
33297332,44.8747003,-93.4906402,282.96451
34551262,44.898197,-93.490639,280.08279
33817107,44.880909,-93.4906342,280.28
34499642,44.89967,-93.490623,290.28531
34647112,44.905418,-93.490608,298.63507
33802961,44.99416,-93.490608,290.9274
469208383,44.7639077,-93.4905926,257.72379
33310771,44.916065,-93.490578,286.01849
469234483,44.7759996,-93.490541,248.43509
942140071,44.7906356,-93.4905332,229.04424
3943302479,44.8293705,-93.4905316,259.45407
3943302427,44.8256555,-93.4905188,271.61539
33322406,44.83596,-93.4904988,261.19183
34530639,44.9119807,-93.490488,282.19278
33737725,44.924923,-93.490486,281.26135
33750283,44.928036,-93.490486,285.04184
33522287,44.999508,-93.490486,294.57999
34177137,44.927406,-93.490456,282.84689
34649054,44.9378346,-93.4904543,288.354
188040371,44.7974274,-93.4904364,226.4442
3943302316,44.8216153,-93.4904311,271.33423
33550101,44.9577095,-93.4904158,283.78
1833737270,44.775493,-93.490404,249.45509
1833737228,44.774697,-93.490385,248.79456
34174439,44.8443338,-93.4903809,266.22617
1833737194,44.773989,-93.490379,249.29697
33328502,45.000614,-93.490379,296.62259
3943302295,44.8210212,-93.4903595,273.91296
34530469,44.848577,-93.490356,266.99109
188036637,44.7955459,-93.4903536,229.07469
5984692622,44.8276422,-93.4903524,261.35861
34501606,45.004173,-93.490318,300.53571
34514845,44.849349,-93.4903168,266.91733
1616165331,44.8626929,-93.4903075,271.71616
33298405,44.985195,-93.490273,291.32263
188037980,44.7936904,-93.4902719,231.52513
33315195,44.945832,-93.4902179,287.47943
34645971,44.837962,-93.4901968,275.85812
34198107,44.929104,-93.490196,291.3728
33348419,44.9345708,-93.4901731,277.51556
34198519,44.912476,-93.490173,282.02139
7633910868,44.7865507,-93.4901658,232.19019
33465518,44.8387849,-93.4901651,274.19278
8452219508,44.8977337,-93.490134,277.47845
33380517,45.003071,-93.490097,300.35684
1833737229,44.774698,-93.490075,248.06802
188042792,44.7865112,-93.490069,232.17018
3943302310,44.8212898,-93.4900682,273.4588
33301044,45.001247,-93.490067,296.05432
469234486,44.7759879,-93.4900651,248.6095
1044299142,44.9616101,-93.4900628,290.23373
33493203,44.8402775,-93.4900544,273.5834
4591603228,44.9960051,-93.4900054,293.06583
33359847,44.936122,-93.4899946,291.36652
33357386,44.907112,-93.48999,291.38416
34666787,44.921867,-93.489975,281.44379
34640999,44.906097,-93.489967,298.21698
33827137,44.888237,-93.48996,268.78995
33842047,44.888901,-93.48996,269.55133
34537170,44.897606,-93.4899304,277.09845
4591603226,44.9949862,-93.4899209,292.04404
6141595348,44.9948609,-93.4899187,292.02405
8585377395,44.7908046,-93.4898873,230.25706
33420928,44.845345,-93.489883,266.38226
33421170,44.845524,-93.489876,266.00226
34198834,44.881794,-93.489861,282.39737
34172894,44.9494842,-93.4898485,284.77866
3943302431,44.8257707,-93.4898474,270.59546
33731999,44.941818,-93.489838,294.27313
34512655,44.834534,-93.48983,260.18652
33298265,44.900692,-93.48983,284.3396
33353253,44.998219,-93.48983,292.46353
33750284,44.928295,-93.489769,287.12451
33542302,44.943721,-93.489769,292.01492
33315074,44.9445722,-93.4897596,289.81833
33739483,44.922749,-93.489754,290.36096
33656773,44.941818,-93.4897159,294.23315
3943302365,44.8227061,-93.4896827,274.94849
33803365,44.923733,-93.489655,289.09583
34163340,44.8645176,-93.4896486,274.29385
8585377389,44.7913969,-93.4896416,229.06613
3943302467,44.8271163,-93.4896329,261.24014
369647524,44.9868938,-93.4896264,294.77972
34566505,44.909336,-93.489615,294.18756
34178340,44.9396475,-93.4896019,291.77173
33383127,44.959101,-93.4895872,283.91479
34515975,44.8701646,-93.4895853,273.10953
34641394,44.9700391,-93.4895468,303.1369
33378953,44.9469242,-93.4895405,284.10187
4612196744,44.9776851,-93.4895368,291.99649
34393758,44.8242332,-93.4895311,273.35648
4895750660,44.8722521,-93.4895259,276.74429
33324204,44.9786353,-93.4895258,290.28787
33630144,44.921101,-93.489525,285.01767
34378602,44.9032556,-93.4894954,294.33163
33301479,45.0019,-93.489494,299.07214
4895750661,44.8723238,-93.4894824,276.76428
34652741,44.9054133,-93.4894813,302.05957
34545157,44.896214,-93.489479,272.60538
4895749710,44.8620518,-93.4894652,270.56039
33354924,44.9044639,-93.4894459,294.5751
33360257,44.9707479,-93.4894249,299.918
4895749711,44.8620791,-93.4894147,270.52872
34381362,44.9701867,-93.4894089,301.89798
33739787,44.92704,-93.489395,280.74292
469070818,44.768753,-93.4893872,257.79404
469237156,44.7639203,-93.4893832,257.87985
4882174296,44.8833,-93.4893792,286.11133
3943302348,44.8222473,-93.4893718,273.8504
34529856,44.9579252,-93.489353,283.65997
34391134,44.834465,-93.489326,258.81442
33737714,44.925987,-93.489326,281.49286
33361645,44.897331,-93.489319,275.47534
34186703,45.003963,-93.489296,302.48114
33360327,44.9375197,-93.4892726,288.37265
369645023,44.9856629,-93.4892688,296.36722
33303179,44.949147,-93.4892651,285.16272
34178676,44.8831104,-93.4892362,285.89133
34656838,44.9700747,-93.4892336,302.12802
33542755,44.998368,-93.489225,292.72092
34537749,44.9170493,-93.4891888,287.41449
7100119618,44.9837346,-93.4891824,296.13235
33632057,44.847633,-93.489182,268.31897
33467188,44.9937189,-93.4891281,289.82431
34570485,44.8585504,-93.4891085,270.97034
4476163999,44.9486859,-93.4890865,284.25998
34504492,44.9922881,-93.4890518,290.62744
33420812,44.836407,-93.489044,274.39615
33322392,44.835209,-93.489037,260.43152
33552678,44.92057,-93.489029,287.62845
33374396,44.914886,-93.489006,287.93802
33465627,44.99522,-93.489006,292.26465
33495444,44.885452,-93.488998,278.7713
33328403,45.000805,-93.488991,297.28027
34387052,44.848679,-93.488983,269.6496
3943302426,44.8254948,-93.4889384,270.42297
369645048,44.9871259,-93.488934,295.59006
33732094,44.911945,-93.488907,281.68927
34531007,44.8547596,-93.4889049,271.63074
33296316,44.865486,-93.488884,272.94949
34560636,44.8989119,-93.4888737,290.78345
33298253,44.901978,-93.488869,292.22662
34659180,44.924843,-93.488869,293.95255
33739812,44.926102,-93.488869,283.69287
34388489,44.9100686,-93.4888552,296.84042
33383083,44.984184,-93.4888426,295.77234
33495453,44.8853062,-93.4888361,278.91129
6311101558,44.9927569,-93.488821,289.19897
34380949,44.8548958,-93.4887862,271.89075
33523483,44.9999245,-93.4887821,294.82709
34168167,44.882236,-93.488754,284.88428
33295814,44.913086,-93.488754,282.0264
33852553,44.840279,-93.4887531,275.00232
1460654740,44.9852356,-93.4887501,294.26721
34530345,44.9580724,-93.4887398,283.73999
34164167,44.8831755,-93.4887341,286.73132
3943302408,44.8245849,-93.4887296,274.12796
6612354304,44.8183614,-93.4887207,228.12549
34569644,44.9293871,-93.4886889,289.28058
33842081,44.8550057,-93.4886838,272.25751
34161312,44.9508536,-93.4886793,284.46677
34534805,44.9861749,-93.488679,295.80688
34194660,44.844505,-93.488678,266.27576
33521636,44.9359852,-93.4886768,289.23343
33802986,44.8388665,-93.4886535,276.15988
33526349,44.920132,-93.488647,289.05457
6815822802,44.8623308,-93.4886443,270.85934
34168179,44.8812651,-93.4886196,282.62985
33522064,44.999176,-93.488617,292.95404
34634786,44.9383341,-93.4886074,291.14572
34373755,44.845387,-93.488602,266.52222
33483240,44.996101,-93.488586,292.1442
34661718,44.9567852,-93.4885814,283.69998
33382234,45.001308,-93.488571,299.90826
33542534,44.9723681,-93.4885631,300.11209
34536896,44.855679,-93.488562,272.98242
34561050,45.000576,-93.488533,296.76907
33368150,44.897103,-93.4885088,273.93161
33322536,44.8565817,-93.4885024,273.7793
33496486,44.9371091,-93.4884938,288.36072
34637741,44.9491562,-93.4884689,285.19086
469237145,44.7665139,-93.4884537,256.24152
8632696048,44.7466255,-93.4884457,280.11853
3943302466,44.8270924,-93.4884406,260.35373
1680919343,44.7464865,-93.4884369,281.37851
33827061,44.888317,-93.488432,266.29562
5127010582,44.8257653,-93.4884089,269.12683
33729863,44.941795,-93.488403,293.29041
33380867,44.923695,-93.48838,294.8703
34512221,44.940025,-93.488358,291.86441
2048245193,44.8626886,-93.4883507,270.87933
34666045,44.8761725,-93.4883321,284.10001
3119089654,44.9529411,-93.4883191,283.99194
6865817680,44.9078336,-93.4883171,294.42776
33368933,44.974106,-93.488297,294.31601
33549138,45.003811,-93.488297,302.93536
33821500,44.8927487,-93.4882904,278.87256
33378703,45.001831,-93.488213,300.52829
8632696035,44.7466326,-93.4882081,280.7785
468551424,44.7678164,-93.4882067,257.0715
